SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ADANIGAS, EQ, 27-Aug-2020,186.15,187.9,190.55,183.1,184.65,184.85,186.8,1911435,3570.54,20001,621928,32.54
ADANIGREEN, EQ, 27-Aug-2020,427.65,431.5,442.75,424.55,432.5,432.75,432.83,1226228,5307.5,19686,473164,38.59
ADANIPORTS, EQ, 27-Aug-2020,354.25,356,357.45,349.55,350.85,350.55,353.96,2996658,10606.91,38053,1114640,37.2
ADANIPOWER, EQ, 27-Aug-2020,40.15,40.5,40.6,39.15,39.4,39.45,39.88,4907127,1957.04,12882,2098853,42.77
ADANITRANS, EQ, 27-Aug-2020,283.1,285,286.4,276,277.35,278.05,280.34,649189,1819.94,9134,357935,55.14
ADFFOODS, EQ, 27-Aug-2020,364.5,368,369.95,354,358,358.05,359.94,51461,185.23,1672,33737,65.56
ADHUNIKIND, EQ, 27-Aug-2020,21.65,22.7,22.7,22.5,22.7,22.7,22.7,31981,7.26,130,31711,99.16
ADORWELD, EQ, 27-Aug-2020,279.2,280.1,285,276,277.25,279.05,281.04,17518,49.23,636,9759,55.71
ADROITINFO, BE, 27-Aug-2020,6.85,6.85,6.85,6.7,6.8,6.8,6.78,1401,0.09,9, -, -
ADSL, EQ, 27-Aug-2020,25.25,25.5,25.5,23.7,24.35,24.45,24.54,101422,24.89,504,79720,78.6
ADVANIHOTR, EQ, 27-Aug-2020,45.55,45.8,46.5,42.1,45.5,44.95,44.95,8279,3.72,171,6629,80.07
ADVENZYMES, EQ, 27-Aug-2020,233.5,234.5,235,223.3,224.75,224.3,226.67,647115,1466.82,16169,373995,57.79
AEGISCHEM, EQ, 27-Aug-2020,205.5,209.4,218,206.1,215.3,215.85,213.62,1233802,2635.68,24028,589603,47.79
AFFLE, EQ, 27-Aug-2020,2941.4,2989,3079,2794.35,2794.35,2794.35,2924.04,227032,6638.51,24436,131652,57.99
AGARIND, EQ, 27-Aug-2020,116.05,116,116.1,110.25,111.5,111.4,111.4,89392,99.58,1555,55852,62.48
AGCNET, EQ, 27-Aug-2020,359.1,366.95,368.8,357.5,360,360.05,360.86,4910,17.72,246,3793,77.25
AGRITECH, EQ, 27-Aug-2020,36.25,36.3,36.3,35.1,35.2,35.25,35.54,4774,1.7,137,4245,88.92
AGROPHOS, EQ, 27-Aug-2020,10.7,10.7,10.9,10.5,10.7,10.75,10.78,28236,3.04,165,20947,74.19
AHLADA, SM, 27-Aug-2020,43,42.5,44.5,42.5,44.5,44.5,43.83,3000,1.32,3,2000,66.67
AHLEAST, EQ, 27-Aug-2020,154.65,157.45,185.55,152.5,172.2,175.45,179.53,41482,74.47,1223,18775,45.26
AHLUCONT, EQ, 27-Aug-2020,299.85,291.5,301.95,276.8,290,290.75,287.08,275571,791.11,5785,162568,58.99
AHLWEST, EQ, 27-Aug-2020,258.4,272,272,260,266,265.95,264.05,1420,3.75,206,785,55.28
AIAENG, EQ, 27-Aug-2020,1849.6,1864,1889.95,1815,1827,1840.4,1853.7,29655,549.72,6009,12279,41.41
AIONJSW, EQ, 27-Aug-2020,18.7,19,19,18.4,18.45,18.5,18.78,231444,43.47,355,192132,83.01
AIRAN, EQ, 27-Aug-2020,12.9,12.95,13.25,12.4,12.8,12.7,12.74,32012,4.08,151,15714,49.09
AIROLAM, SM, 27-Aug-2020,21.5,22,22.1,22,22.1,22.1,22.05,6000,1.32,2,6000,100
AJANTPHARM, EQ, 27-Aug-2020,1609.75,1613,1617.25,1580.1,1580.15,1584.15,1589.8,122218,1943.02,10029,62469,51.11
AJMERA, EQ, 27-Aug-2020,92.65,99.7,101.3,97,97.1,97.45,98.98,922252,912.87,10979,300126,32.54
AJOONI, SM, 27-Aug-2020,33.5,34,35,33.5,35,34.8,34.13,164000,55.98,40,88000,53.66
AKASH, BE, 27-Aug-2020,204,206,211.9,205,211.9,211.45,209.9,18215,38.23,86, -, -
AKG, SM, 27-Aug-2020,43.7,44,51,44,51,48.3,47.04,68000,31.99,14,32000,47.06
AKSHARCHEM, EQ, 27-Aug-2020,260.35,261.3,262.35,246.4,249.2,249,252.54,110375,278.74,3891,62724,56.83
AKSHOPTFBR, EQ, 27-Aug-2020,7.95,8.3,8.3,8.3,8.3,8.3,8.3,87274,7.24,133,87274,100
AKZOINDIA, EQ, 27-Aug-2020,2133.55,2149,2195,2100,2180,2159.1,2145.34,11026,236.55,1536,6030,54.69
ALANKIT, EQ, 27-Aug-2020,18.5,18.75,19.4,17.75,17.9,17.9,18.27,878768,160.57,1122,281854,32.07
ALBERTDAVD, EQ, 27-Aug-2020,452.7,452.7,457.9,439.15,440.15,440.45,445.02,58439,260.06,3161,33868,57.95
ALCHEM, EQ, 27-Aug-2020,6.75,7.05,7.05,7.05,7.05,7.05,7.05,22715,1.6,52,22715,100
ALEMBICLTD, EQ, 27-Aug-2020,85.65,86,89.35,85.65,86,86.35,87.62,1876391,1644.07,13822,590095,31.45
ALICON, EQ, 27-Aug-2020,354.25,354.3,364,343.55,358,357.2,355.83,3570,12.7,220,2775,77.73
ALKALI, EQ, 27-Aug-2020,53.4,54,55,52.5,53.05,53.2,53.84,24052,12.95,681,13350,55.5
ALKEM, EQ, 27-Aug-2020,2822.45,2821.1,2894,2821.1,2870,2873.45,2865.87,233719,6698.07,16752,123841,52.99
ALKYLAMINE, EQ, 27-Aug-2020,3461.5,3520,3543.65,3352.65,3430,3438.8,3449.6,75469,2603.38,10665,28401,37.63
ALLCARGO, EQ, 27-Aug-2020,128.6,130,131.4,122.35,124.15,123.55,126.43,1489556,1883.29,13211,921692,61.88
ALLSEC, EQ, 27-Aug-2020,292.2,291.9,291.9,270.1,280,279.1,280.05,26007,72.83,648,11334,43.58
ALMONDZ, EQ, 27-Aug-2020,16.2,16.4,16.4,14.6,14.6,14.6,15.04,89266,13.42,352,74331,83.27
ALOKINDS, EQ, 27-Aug-2020,34.45,33.2,34.4,33.2,33.8,33.7,33.82,9724957,3288.65,22292,5014192,51.56
ALPA, EQ, 27-Aug-2020,31.2,32,32.3,29.65,29.65,29.7,31.03,313343,97.23,1752,206244,65.82
ALPHAGEO, EQ, 27-Aug-2020,181.65,195,195,183.35,183.8,185.35,189.09,107946,204.11,2707,55146,51.09
ALPSINDUS, EQ, 27-Aug-2020,1.25,1.3,1.3,1.2,1.3,1.3,1.28,39326,0.5,56,31797,80.85
AMARAJABAT, EQ, 27-Aug-2020,743.5,745,748,737.25,742,741.8,741.03,389573,2886.85,21350,131466,33.75
AMBER, EQ, 27-Aug-2020,1819.15,1820,1839.95,1786.05,1807,1801.2,1816.41,118590,2154.08,6555,81984,69.13
AMBIKCO, EQ, 27-Aug-2020,712.9,718.95,720,710.05,711.35,714.75,716.74,10666,76.45,923,6475,60.71
AMBUJACEM, EQ, 27-Aug-2020,220.85,222,223.7,220.2,221.5,221.35,221.46,2046039,4531.2,11017,989221,48.35
AMDIND, EQ, 27-Aug-2020,19,19.55,19.55,18.25,18.4,18.6,18.67,41963,7.83,249,28717,68.43
AMJLAND, EQ, 27-Aug-2020,19.5,19.55,19.7,18.8,18.9,19,19.18,41587,7.98,229,27828,66.92
AMJUMBO, SM, 27-Aug-2020,7.85,7.5,7.9,7.5,7.9,7.9,7.7,16000,1.23,2,16000,100
AMRUTANJAN, EQ, 27-Aug-2020,470.95,473.25,496,471.05,479,477.05,480.69,179759,864.09,5537,38864,21.62
ANANTRAJ, EQ, 27-Aug-2020,36.35,37.05,37.85,34.25,34.7,34.7,36.25,586734,212.68,2132,389858,66.45
ANDHRACEMT, EQ, 27-Aug-2020,5.45,5.5,5.7,5.3,5.6,5.55,5.55,563427,31.29,797,242119,42.97
ANDHRAPAP, EQ, 27-Aug-2020,221.7,224,230.4,220,225.75,225.45,225.38,136526,307.7,2506,65362,47.88
ANDHRSUGAR, EQ, 27-Aug-2020,323.25,323.2,324.95,310.1,315.45,314.65,317.78,94843,301.39,2818,64018,67.5
ANIKINDS, EQ, 27-Aug-2020,14.7,14.7,15.2,14.45,14.75,14.75,14.78,19273,2.85,86,13665,70.9
ANKITMETAL, EQ, 27-Aug-2020,0.95,1,1,0.95,1,1,1,143980,1.44,111,138979,96.53
ANSALAPI, EQ, 27-Aug-2020,4.55,4.55,4.75,4.5,4.75,4.75,4.68,134704,6.31,201,96898,71.93
ANSALHSG, EQ, 27-Aug-2020,4.65,4.85,4.85,4.75,4.85,4.85,4.84,68297,3.31,112,65491,95.89
ANUP, EQ, 27-Aug-2020,559.4,565,579.9,561.1,575,575.45,570.6,27603,157.5,1768,19418,70.35
APARINDS, EQ, 27-Aug-2020,358.55,365,365,351,355,353.1,359.89,109853,395.35,3196,65785,59.88
APCL, EQ, 27-Aug-2020,153,156.9,156.9,151,153.7,152.95,153.07,23066,35.31,614,15474,67.09
APCOTEXIND, EQ, 27-Aug-2020,163.65,164.05,165.75,161,162,161.75,163.21,88635,144.66,3173,41518,46.84
APEX, EQ, 27-Aug-2020,292,294,295.9,286.5,287.2,288.05,291.24,422336,1230.02,7734,119742,28.35
APLAPOLLO, EQ, 27-Aug-2020,2489.4,2499.95,2500,2425.1,2440,2449,2478.42,71310,1767.36,4980,48229,67.63
APLLTD, EQ, 27-Aug-2020,991.05,995.8,1025,993,1000,999.1,1007.73,496574,5004.11,28007,219279,44.16
APOLLO, EQ, 27-Aug-2020,128.15,129.4,131.4,127.2,128.05,128.1,129.61,241345,312.82,3627,103826,43.02
APOLLOHOSP, EQ, 27-Aug-2020,1651.2,1656,1679.95,1638.2,1645,1650,1656.91,476295,7891.76,20919,109302,22.95
APOLLOPIPE, EQ, 27-Aug-2020,409.6,414.9,414.9,401,403,403.25,407.73,26661,108.7,1467,18864,70.76
APOLLOTYRE, EQ, 27-Aug-2020,132,133.3,139,132.8,135.5,135.5,136.32,22833181,31126.78,106089,4240823,18.57
APOLSINHOT, EQ, 27-Aug-2020,604.25,608,619.85,605,605.1,605.75,608,893,5.43,150,665,74.47
APTECHT, EQ, 27-Aug-2020,138,138.75,139.95,133.55,134,134.35,136.95,534855,732.47,6894,241449,45.14
ARCHIDPLY, EQ, 27-Aug-2020,31.4,31.95,32,29.5,30.1,29.9,30.98,155325,48.12,1323,80459,51.8
ARCHIES, EQ, 27-Aug-2020,12.85,12.95,13,12.6,13,12.9,12.8,29721,3.8,134,20790,69.95
ARCOTECH, BE, 27-Aug-2020,2.95,2.95,3,2.85,2.95,2.9,2.93,60368,1.77,95, -, -
ARENTERP, EQ, 27-Aug-2020,10.85,10.4,11.5,10.4,11.45,11.45,11.14,427,0.05,27,263,61.59
ARIES, EQ, 27-Aug-2020,80.75,81.4,81.6,80,81,80.95,80.97,23734,19.22,485,17282,72.82
ARIHANT, EQ, 27-Aug-2020,18.55,18.6,19.45,18.45,19.1,19.1,19.14,5129,0.98,82,4088,79.7
ARIHANTSUP, EQ, 27-Aug-2020,24.2,25.3,25.4,24.5,25.4,25.4,25.31,20171,5.11,79,14765,73.2
ARMANFIN, EQ, 27-Aug-2020,582.75,590,640,585,612,611.35,618.43,70598,436.6,4198,30032,42.54
AROGRANITE, EQ, 27-Aug-2020,29.25,29.25,31,28.5,30.5,30.4,30.37,52357,15.9,353,38533,73.6
ARROWGREEN, EQ, 27-Aug-2020,54.6,57.3,57.3,51.9,52.05,52.8,54.01,31773,17.16,355,26140,82.27
ARSHIYA, EQ, 27-Aug-2020,11.9,12.45,12.45,12.1,12.45,12.45,12.4,28443,3.53,57,21286,74.84
ARSSINFRA, EQ, 27-Aug-2020,14.3,14.85,14.85,14.1,14.25,14.15,14.54,23825,3.46,124,18259,76.64
ARTEMISMED, EQ, 27-Aug-2020,167.25,169,170,167.05,167.05,167.9,168,1268,2.13,30,1128,88.96
ARVEE, SM, 27-Aug-2020,48,51,57.6,51,57.6,57.6,55.2,6000,3.31,3,4000,66.67
ARVIND, EQ, 27-Aug-2020,36.75,37,37.25,36.2,36.4,36.4,36.79,3001774,1104.31,8913,1376515,45.86
ARVINDFASN, EQ, 27-Aug-2020,164.3,163.5,163.9,156.1,156.15,156.85,159.2,462965,737.04,5970,329092,71.08
ARVSMART, EQ, 27-Aug-2020,102.5,106.65,109.7,104,104.6,105.25,107.11,498697,534.16,6496,165251,33.14
ASAHIINDIA, EQ, 27-Aug-2020,223.9,226.4,234,220,223,223.15,225.74,69124,156.04,1980,22894,33.12
ASAHISONG, EQ, 27-Aug-2020,236,238.6,238.6,208.6,213,215.55,222.51,138625,308.46,3165,100123,72.23
ASAL, EQ, 27-Aug-2020,22.5,22.7,23.6,22.4,23,23.2,23.22,18546,4.31,174,15967,86.09
ASALCBR, EQ, 27-Aug-2020,282.85,282.85,287.8,276.1,278,278.9,281.57,65899,185.55,1947,38886,59.01
ASHAPURMIN, EQ, 27-Aug-2020,61.4,64.45,64.45,64.45,64.45,64.45,64.45,31450,20.27,114,31450,100
ASHIANA, EQ, 27-Aug-2020,85,85,89.25,84.5,88.25,87.6,87.76,116195,101.97,1709,61360,52.81
ASHIMASYN, EQ, 27-Aug-2020,6.85,6.95,6.95,6.55,6.65,6.65,6.72,25115,1.69,77,20105,80.05
ASHOKA, EQ, 27-Aug-2020,76.8,77.35,77.7,75.2,75.4,75.4,75.93,1733462,1316.22,9444,902673,52.07
ASHOKLEY, EQ, 27-Aug-2020,71.05,71.45,73.6,71.2,72.55,72.5,72.72,43223467,31433.25,103432,10707181,24.77
ASIANHOTNR, EQ, 27-Aug-2020,62.65,62.65,64.5,61.95,62.4,63,62.85,9570,6.02,220,4473,46.74
ASIANPAINT, EQ, 27-Aug-2020,1971.4,1980.9,2009,1970.05,1985,1982.5,1988.53,3116307,61968.76,103457,925170,29.69
ASIANTILES, EQ, 27-Aug-2020,250.1,252.9,255.25,248.05,249,253,251.51,320436,805.92,7319,54033,16.86
ASPINWALL, EQ, 27-Aug-2020,155,154,160,151.1,155,156.2,157.09,2235,3.51,68,1974,88.32
ASTEC, EQ, 27-Aug-2020,1167,1165.25,1249,1165.25,1213.05,1203.4,1219.11,128898,1571.4,9085,38571,29.92
ASTERDM, EQ, 27-Aug-2020,144.15,145.1,147.45,142.5,143.55,143.4,144.99,184167,267.02,3586,67415,36.61
ASTRAL, EQ, 27-Aug-2020,1182.75,1197.5,1197.95,1150.55,1166,1157,1166.38,63533,741.04,6046,30619,48.19
ASTRAMICRO, EQ, 27-Aug-2020,121.3,121.85,130.9,121.1,127.5,128.8,126.81,2361650,2994.9,14310,965765,40.89
ASTRAZEN, EQ, 27-Aug-2020,3520.85,3565,3587.5,3515.05,3535,3533.3,3549.63,61287,2175.46,8930,26983,44.03
ASTRON, EQ, 27-Aug-2020,45.15,45.15,45.6,44.35,44.7,44.45,44.86,23960,10.75,341,14903,62.2
ATFL, EQ, 27-Aug-2020,766.15,772.05,778.05,754,764.4,760.2,766.28,19837,152.01,2063,11101,55.96
ATLANTA, EQ, 27-Aug-2020,8.95,9.25,9.25,8.85,9.15,9.15,9.07,12471,1.13,114,8688,69.67
ATLASCYCLE, BE, 27-Aug-2020,47.25,49.6,49.6,49.6,49.6,49.6,49.6,19871,9.86,100, -, -
ATUL, EQ, 27-Aug-2020,5897.2,5895,6360,5895,6349,6261.15,6148.61,98227,6039.6,14277,38320,39.01
ATULAUTO, EQ, 27-Aug-2020,194.9,197.75,201,192.3,194.3,194.4,196.39,470383,923.76,8374,208076,44.24
AUBANK, EQ, 27-Aug-2020,733,736.1,743.6,728.1,728.1,730.45,736.79,294529,2170.07,10064,148892,50.55
AURIONPRO, EQ, 27-Aug-2020,70.4,73.4,73.5,69,70,69.55,70.77,18945,13.41,313,14578,76.95
AUROPHARMA, EQ, 27-Aug-2020,867.9,868.95,886,866,879,876.6,876.6,3767697,33027.51,68660,977167,25.94
AUSOMENT, EQ, 27-Aug-2020,39.45,39.5,40.35,38.4,39,39,39.18,2159,0.85,37,1964,90.97
AUTOAXLES, EQ, 27-Aug-2020,720.6,720,720,704,710,708.35,711.12,21462,152.62,1538,13139,61.22
AUTOIND, EQ, 27-Aug-2020,35.3,37.05,37.05,37.05,37.05,37.05,37.05,12319,4.56,56,12319,100
AUTOLITIND, EQ, 27-Aug-2020,25,26.4,26.4,25,25.75,25.4,25.7,33660,8.65,359,19129,56.83
AVADHSUGAR, EQ, 27-Aug-2020,196.7,197.9,210.4,195.3,205.5,205.2,205.37,233582,479.7,4607,117711,50.39
AVANTIFEED, EQ, 27-Aug-2020,559,563,587,542.7,552,555.15,562.52,3982936,22404.94,82666,570240,14.32
AVG, SM, 27-Aug-2020,44,46.1,46.1,46.1,46.1,46.1,46.1,1200,0.55,1,1200,100
AVTNPL, EQ, 27-Aug-2020,48.35,48.7,50.95,45.65,47.65,47.5,48.8,968423,472.61,4148,428084,44.2
AXISBANK, EQ, 27-Aug-2020,463.35,464,474.5,464,473.5,473.05,471.25,19544322,92101.71,218985,7204324,36.86
AXISCADES, EQ, 27-Aug-2020,67,68,70.35,66.9,70.35,70.25,69.58,113209,78.77,1040,81420,71.92
AXISGOLD, EQ, 27-Aug-2020,44.75,44.55,45.4,44.55,44.75,44.7,44.99,105717,47.56,907,68082,64.4
AXISNIFTY, EQ, 27-Aug-2020,118.53,135,140,118.5,119.75,119.11,119.55,12969,15.5,229,8888,68.53
AYMSYNTEX, EQ, 27-Aug-2020,28.4,29,29.3,27.6,28.4,28.95,28.7,20272,5.82,166,15819,78.03
BAGFILMS, EQ, 27-Aug-2020,2.6,2.6,2.7,2.6,2.7,2.7,2.68,97068,2.6,72,83068,85.58
BAJAJ-AUTO, EQ, 27-Aug-2020,3082.2,3082.2,3088.75,3025.2,3043.1,3043,3043.23,711504,21652.71,41025,118185,16.61
BAJAJCON, EQ, 27-Aug-2020,180.5,182,182.15,178.45,179.7,178.8,179.78,590082,1060.82,12167,318818,54.03
BAJAJELEC, EQ, 27-Aug-2020,529.65,539,542,521,524.4,525.7,530.6,964119,5115.66,25738,218161,22.63
BAJAJFINSV, EQ, 27-Aug-2020,6564.4,6604.95,6604.95,6487.5,6535.95,6530.75,6540.01,461882,30207.13,37535,60454,13.09
BAJAJHIND, EQ, 27-Aug-2020,6.05,6.05,6.1,5.95,6,6,6.01,3066656,184.44,2328,1538670,50.17
BAJAJHLDNG, EQ, 27-Aug-2020,2758.25,2800,2867.95,2760,2850,2851.65,2821.91,125650,3545.73,11951,59091,47.03
BAJFINANCE, EQ, 27-Aug-2020,3645.55,3656.95,3668.4,3596.4,3636,3632.5,3631.13,4611132,167436.06,162374,387513,8.4
BALAJITELE, EQ, 27-Aug-2020,82.1,83,83.9,82.1,82.8,82.35,83,159068,132.03,1751,84829,53.33
BALAMINES, EQ, 27-Aug-2020,971.8,975,987,945,946,948.2,960.16,254754,2446.05,11499,111417,43.74
BALAXI, BE, 27-Aug-2020,384.45,403.65,403.65,367,403.65,400.85,400.17,11769,47.1,427, -, -
BALKRISHNA, EQ, 27-Aug-2020,14.2,14.85,14.85,14.2,14.65,14.65,14.66,11599,1.7,77,9108,78.52
BALKRISIND, EQ, 27-Aug-2020,1395,1400,1407.5,1372.05,1380.6,1378.6,1392.3,392233,5461.05,22536,169570,43.23
BALLARPUR, BE, 27-Aug-2020,1.75,1.7,1.7,1.7,1.7,1.7,1.7,469956,7.99,556, -, -
BALMLAWRIE, EQ, 27-Aug-2020,120.05,120.85,121.45,118.3,118.75,119.05,119.83,279583,335.02,3551,185152,66.22
BALPHARMA, EQ, 27-Aug-2020,47.8,47.8,49.3,46.25,46.85,46.95,47.41,39932,18.93,534,24811,62.13
BALRAMCHIN, EQ, 27-Aug-2020,158.05,158.05,161.3,154.55,159.1,158.8,157.87,1900788,3000.74,17986,754952,39.72
BANARBEADS, EQ, 27-Aug-2020,52.15,51.05,54.9,51.05,53.4,52.8,53.35,13704,7.31,214,7766,56.67
BANARISUG, EQ, 27-Aug-2020,1310.55,1305.05,1327,1302,1306.5,1308.4,1316.76,1501,19.76,144,1172,78.08
BANCOINDIA, EQ, 27-Aug-2020,97.6,104,106.95,99,100.7,100.1,101.69,659544,670.67,6966,290027,43.97
BANDHANBNK, EQ, 27-Aug-2020,298.05,303.2,315,302.4,310.8,311.1,309.84,40880245,126662.03,332572,12787485,31.28
BANG, EQ, 27-Aug-2020,19.35,20,20,18.75,19.6,19.45,19.31,8227,1.59,112,6468,78.62
BANKA, SM, 27-Aug-2020,93.8,94.95,96.95,89.15,90.15,90.05,91.36,16800,15.35,13,9600,57.14
BANKBARODA, EQ, 27-Aug-2020,48.45,48.8,49.5,48.55,48.65,48.7,49.01,34037255,16682.72,57138,7413109,21.78
BANKBEES, EQ, 27-Aug-2020,235.64,237.2,238.14,235.64,237.6,237.35,237.4,371532,882.03,5056,152745,41.11
BANKINDIA, EQ, 27-Aug-2020,48.4,48.6,51.1,48.15,49.9,49.9,50.04,6899464,3452.4,17126,3101924,44.96
BANSWRAS, EQ, 27-Aug-2020,73.95,74.8,77.85,71.75,75,75.7,75.84,65355,49.56,1717,37506,57.39
BARTRONICS, BZ, 27-Aug-2020,2.4,2.4,2.5,2.3,2.5,2.5,2.42,16950,0.41,35, -, -
BASF, EQ, 27-Aug-2020,1639.6,1640,1640.15,1591,1595,1599.2,1612.04,57086,920.25,3252,36558,64.04
BASML, EQ, 27-Aug-2020,100.25,99.05,101.95,96.5,97.05,97.8,99.62,7899,7.87,290,3792,48.01
BATAINDIA, EQ, 27-Aug-2020,1311.4,1317.1,1359,1315,1355,1351.15,1345.44,1869933,25158.86,64909,485463,25.96
BAYERCROP, EQ, 27-Aug-2020,6188.75,6220,6220,6055.6,6085.1,6093.35,6115.76,21091,1289.88,5115,10774,51.08
BBL, EQ, 27-Aug-2020,844.75,848,859.7,835,840.95,837,846.46,12982,109.89,1614,6889,53.07
BBTC, EQ, 27-Aug-2020,1456.4,1463,1545,1460,1512,1511.85,1515.58,521446,7902.92,25160,116329,22.31
BBTCL, SM, 27-Aug-2020,35,34.5,34.55,34.5,34.55,34.5,34.53,6000,2.07,2,3000,50
BCG, EQ, 27-Aug-2020,8.3,8.65,8.7,8.5,8.7,8.7,8.65,1721847,148.89,1150,1392945,80.9
BCP, EQ, 27-Aug-2020,5.25,5.45,5.5,5.25,5.5,5.45,5.4,362174,19.57,528,281595,77.75
BDL, EQ, 27-Aug-2020,429.55,427.85,429,410,413.25,412.9,415.61,882246,3666.67,21213,370444,41.99
BEARDSELL, EQ, 27-Aug-2020,8.4,8.8,8.8,8.8,8.8,8.8,8.8,8523,0.75,11,8523,100
BEDMUTHA, EQ, 27-Aug-2020,15.9,16.05,16.6,16.05,16.05,16.05,16.08,3758,0.6,38,3273,87.09
BEL, EQ, 27-Aug-2020,111.8,111.85,112.65,109.8,110.15,110.3,110.84,9139538,10130.53,34465,3812831,41.72
BEML, EQ, 27-Aug-2020,701.9,705,708.2,692.15,694,694.55,700.84,469273,3288.84,14037,110810,23.61
BEPL, EQ, 27-Aug-2020,61.1,61.6,63.6,60.75,61.5,61.65,62.21,790837,491.99,3663,439239,55.54
BERGEPAINT, EQ, 27-Aug-2020,562.65,565,569.75,559.45,562.6,562.65,563.8,781289,4404.89,15485,148777,19.04
BETA, SM, 27-Aug-2020,87,86.05,86.05,86,86,86,86.03,1600,1.38,2,800,50
